Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brasil,Included / Internacional,Price / Internacional,Compare At Price / Internacional,Status
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-3-unidades,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_bcf19a95-bb72-48cf-a9b7-ec7e72a0bfc1.webp?v=1693117395,2,,,,,,,,,,,,,,,,,,,,,,,,
essencial-pearls-perolas-de-ouro-iluminadora-com-resveratrol-3-unidades,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_667cb671-1bad-495a-b54c-a5eb7aa3f217.webp?v=1693117396,3,,,,,,,,,,,,,,,,,,,,,,,,
colageno-peptan-chocolate-acido-hialuronico-1-unidade,COLÁGENO PEPTAN CHOCOLATE + ÁCIDO HIALURÔNICO - 1 UNIDADE,"<div class=""ecom-block ecom-core core__block ecom-5sdib0xgkkc"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element element__heading ecom-element ecom-html"" data-stopdrag=""true"" data-mce-fragment=""1"" deep=""1"">
<h3 class=""ecom__heading ecom-db"" data-mce-fragment=""1"">
<b data-mce-fragment=""1"">Como usar<span data-mce-fragment=""1""> </span></b>o Colágeno Peptan?<b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b>
</h3>
</div>
</div>
<div class=""ecom-block ecom-core core__block elmspace ecom-cxm1ptdpyx4"" data-core-is=""block"" data-mce-fragment=""1"">
<div class=""ecom__element ecom-element element__text"" data-stopdrag="""" data-mce-fragment=""1"" deep=""1"">
<div class=""text-content ecom-html has-drop-cap-view-default"" data-mce-fragment=""1"">
<b data-mce-fragment=""1""></b><b data-mce-fragment=""1""></b>
<div data-mce-fragment=""1"">Para usar o Colágeno Peptan,<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">misture 12g (02 colheres dosadoras) do produto em 150ml de água e mexa até dissolver.</b><span data-mce-fragment=""1""> </span>Use uma colher para medidas precisas. Consuma uma vez ao dia conforme a dose recomendada. Após abrir, consuma em até 30 dias para eficácia.</div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1"">Seguindo essas instruções, você pode desfrutar dos benefícios do Colágeno Peptan de forma prática e segura. Lembre-se de que é sempre recomendado consultar um profissional de saúde antes de iniciar qualquer suplementação para obter orientações personalizadas e adequadas.</div>
</div>
</div>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,89.90,99.90,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_7f24e8e4-1d5c-4338-9dc8-60b26ad98a65.webp?v=1693117283,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
colageno-peptan-chocolate-acido-hialuronico-1-unidade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_d56a97e7-e9f9-4e6d-b4e0-60a825f26a85.webp?v=1693117283,2,,,,,,,,,,,,,,,,,,,,,,,,
colageno-peptan-chocolate-acido-hialuronico-1-unidade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_066a48e1-a3a0-4dad-a399-05159b81304e.webp?v=1693117283,3,,,,,,,,,,,,,,,,,,,,,,,,
clareamento-oil-in-cream-family,CLAREAMENTO OIL IN CREAM FAMILY,"<p><span data-mce-fragment=""1"">O Ácido Clareador Ativado é um produto de cuidados para a pele fabricado com base em ácido salicílico e outros ingredientes ativos. Ele é projetado para combater inflamações, clarear manchas escuras, esfoliar suavemente a pele e proporcionar hidratação.</span></p>
<p><span>O Ácido Clareador Ativado contém ingredientes, como ácido salicílico e gluconolactona, que inibem a produção excessiva de melanina, o pigmento responsável pela coloração da pele. Isso resulta em uma redução gradual das manchas escuras e em um tom de pele mais uniforme.</span></p>
<p><span>Os benefícios do Ácido Clareador Ativado incluem clareamento da pele, redução de inflamações cutâneas, remoção de células mortas, estimulação da renovação celular, hidratação e suavidade da pele.</span></p>",Minha loja,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,359.90,,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_1d919a1a-7916-4d7c-bb4c-215aa9a0fca0.webp?v=1693117239,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
clareamento-oil-in-cream-family,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/03_84a4a6d8-ddec-465d-86bd-d67ad08b8cd4.webp?v=1693117239,2,,,,,,,,,,,,,,,,,,,,,,,,
clareamento-oil-in-cream-family,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/02_e07f6d11-0afe-4df3-bd29-0dbc74af4871.webp?v=1693117239,3,,,,,,,,,,,,,,,,,,,,,,,,
clareamento-completo-family,CLAREAMENTO COMPLETO FAMILY,"<p><span data-mce-fragment=""1"">O Kit para o cuidado com a região danificada da pele é uma combinação perfeita de produtos formulados...</span></p>
<p>O kit contem:</p>
<p>5 clareadores</p>
<p>1 sérum anti-idade</p>",Minha loja,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,302.90,419.90,true,false,"",https://cdn.shopify.com/s/files/1/0815/2150/8639/files/01_69322cba-6b1d-45e4-8246-5bcf99cc716e.webp?v=1693117219,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
clareamento-completo-family,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0815/2150/8639/files/2.webp?v=1693117219,2,,,,,,,,,,,,,,,,,,,,,,,,
