Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
kit-pillow-top-iws-cloud-qe-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/protetor_travesseiro_ff5a8809-42d2-461b-902f-7f750478cc35.png?v=1693498126,5,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-cs-2x-trv-pluma-touch-50x70-2x-melat,Kit PillowTop + 2 Travesseiros + 2 Protetores + Melatonina,"<p style=""font-size: 18px; color: #741254;"" data-mce-style=""font-size: 18px; color: #741254;""><span style=""color: #741254;"" data-mce-style=""color: #741254;""><strong>Kit composto por:</strong></span></p>
<ul>
<li>
<strong>01x PillowTop IWS Cloud | Conforto Intermediário (Tamanho Casal 1,38x1,88m)</strong>: Uma excelente opção para quem busca um Pillow Top que complemente o conforto do colchão, mas que não seja macio demais, mantendo assim o suporte que o colchão fornece.<br data-mce-fragment=""1"">
</li>
<li>
<strong data-mce-fragment=""1"">02x Travesseiro IWS Pluma Touch® 50x70cm</strong>: Feito para quem gosta de um travesseiro confortável e macio, sem perder o suporte.</li>
<li>
<strong>02x Protetor de Travesseiro IWS Impermeável 50X70cm</strong>: Um item indispensável para a saúde do seu sono. Tem uma camada impermeável que protege o travesseiro da umidade, evitando o acúmulo de ácaros e bactérias.</li>
<li>
<strong>01x Melatonina Líquida IWS 30ml Maracujá 750 gotas</strong>: Solução desenvolvida pela I wanna sleep para te ajudar a pegar no sono mais rápido, sem os riscos envolvidos no uso de medicamentos para dormir.</li>
</ul>
<p>Perfeito para dar aquele conforto extra na sua cama! 😴</p>",eÓtica,,Pillow Top,dormir,true,Title,Default Title,,,,,3132+3114-1x2+3166x2+3112,0.0,,0,deny,manual,159.90,299.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTopIWSCloud_2xTRVPlumaTouch_2xProtetorTRV_Melatonina_d25265ec-0694-4e1a-bf80-fd0dd6af135b.png?v=1693498140,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
kit-pillow-top-iws-cloud-cs-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowCloud_SP_Logo_6d28069c-7d8c-490d-a3b5-12fc97fc56f0.png?v=1693498140,2,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-cs-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PlumaTouch_SP_Logo_6f7fb860-a28c-4570-90dc-4ef2f46d8762.png?v=1693498140,3,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-cs-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/vidro_melatonina_c3174d2e-d213-4427-b108-2e784ed44fd0.png?v=1693498140,4,,,,,,,,,,,,,,,,,,,,,,,,
kit-pillow-top-iws-cloud-cs-2x-trv-pluma-touch-50x70-2x-melat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/protetor_travesseiro_1952295f-1055-4089-93ae-2af12902df98.png?v=1693498140,5,,,,,,,,,,,,,,,,,,,,,,,,
cobertor-iws-huggy,Cobertor IWS Huggy®,"<p style=""font-size: 18px; color: #741254; text-align: left;"" data-mce-style=""font-size: 18px; color: #741254; text-align: left;""><span style=""color: #741254;"" data-mce-style=""color: #741254;""><strong>A solução Dual Touch perfeita para você que preza pelo conforto e pela sofisticação!</strong></span></p>
<p><span style=""color: #1f2124; font-size: 14px;"" data-mce-style=""color: #1f2124; font-size: 14px;""></span><span style=""color: #1f2124; font-size: 14px;"" data-mce-style=""color: #1f2124; font-size: 14px;"">O <strong>Huggy®</strong> é um produto desenvolvido especialmente pela I wanna sleep, que traz o conforto de um edredom e o aconchego de um cobertor em um só produto. </span></p>
<p><span style=""color: #1f2124; font-size: 14px;"" data-mce-style=""color: #1f2124; font-size: 14px;"">Sua tecnologia Dual Touch envolve a Mantinha Fleece de um lado, que possui um toque leve e quentinho, ideal para te aquecer nos dias mais frios, e o Sheepskin sintético de outro, que traz mais maciez e conforto para suas noite de sono.</span></p>
<p><span style=""color: #1f2124; font-size: 14px;"" data-mce-style=""color: #1f2124; font-size: 14px;"">Com a chegada do inverno, nada melhor do que ficar em casa assistindo televisão debaixo das cobertas. Por isso, o <strong data-mce-fragment=""1"">Huggy® </strong>será o seu companheiro fiel.</span></p>",eÓtica,,"",dormir,true,Cor,Bege Dune,Tamanho,"Casal/Queen (2,20x2,40m)",,,'3209,0.0,,0,deny,manual,79.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_6.png?v=1693498158,2,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_3_9497ad6d-62dd-4edb-be42-ab1e1c73b08a.png?v=1693498158,kg,,,true,true,,,active
cobertor-iws-huggy,,,,,,,,,Cinza Koala,,"Casal/Queen (2,20x2,40m)",,,'3208,0.0,,0,deny,manual,79.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_5.png?v=1693498158,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_7.png?v=1693498158,kg,,,,,,,
cobertor-iws-huggy,,,,,,,,,Bege Dune,,"King/Super King (2,40x2,60m)",,,'3215,0.0,,0,deny,manual,79.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_6_42910df3-f546-4bc6-8e09-abc53c7341d0.png?v=1693498158,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_3_9497ad6d-62dd-4edb-be42-ab1e1c73b08a.png?v=1693498158,kg,,,,,,,
cobertor-iws-huggy,,,,,,,,,Cinza Koala,,"King/Super King (2,40x2,60m)",,,'3214,0.0,,0,deny,manual,79.90,199.00,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_2_18f32d6c-bea3-40a1-918e-feb6daf9277f.png?v=1693498158,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_7.png?v=1693498158,kg,,,,,,,
